Reservoir Data: Bhandardara
Period: 2005-2019 
No of Records: 4500 
Date,LEVEL (m),STORAGE (BCM)
01-JAN-05,741.45,.23
02-JAN-05,741.45,.23
03-JAN-05,741.44,.23
04-JAN-05,741.44,.23
05-JAN-05,741.44,.23
06-JAN-05,741.32,.23
07-JAN-05,741.07,.23
08-JAN-05,740.96,.22
09-JAN-05,740.66,.22
10-JAN-05,740.42,.22
11-JAN-05,740.19,.22
12-JAN-05,739.93,.21
13-JAN-05,739.7,.21
14-JAN-05,739.44,.2
15-JAN-05,739.18,.2
16-JAN-05,738.94,.2
17-JAN-05,738.68,.19
18-JAN-05,738.4,.19
19-JAN-05,738.14,.19
20-JAN-05,737.87,.18
21-JAN-05,737.6,.18
22-JAN-05,737.32,.18
23-JAN-05,737.05,.18
24-JAN-05,736.8,.17
25-JAN-05,736.68,.17
26-JAN-05,736.68,.17
27-JAN-05,736.68,.17
28-JAN-05,736.67,.17
29-JAN-05,736.69,.17
30-JAN-05,736.65,.17
31-JAN-05,736.65,.17
01-FEB-05,736.65,.17
02-FEB-05,736.64,.17
03-FEB-05,736.64,.17
04-FEB-05,736.64,.17
05-FEB-05,736.64,.17
06-FEB-05,736.64,.17
07-FEB-05,736.64,.17
08-FEB-05,736.62,.17
09-FEB-05,736.62,.17
10-FEB-05,736.62,.17
11-FEB-05,736.6,.17
12-FEB-05,736.6,.17
13-FEB-05,736.6,.17
14-FEB-05,736.59,.17
15-FEB-05,736.59,.17
16-FEB-05,736.59,.17
17-FEB-05,736.57,.17
18-FEB-05,736.41,.17
19-FEB-05,736.04,.16
20-FEB-05,735.77,.16
21-FEB-05,735.45,.16
22-FEB-05,735.11,.15
23-FEB-05,734.76,.15
24-FEB-05,734.46,.15
25-FEB-05,734.12,.14
26-FEB-05,733.74,.14
27-FEB-05,733.36,.14
28-FEB-05,732.96,.13
01-MAR-05,732.81,.13
02-MAR-05,732.41,.13
03-MAR-05,732.11,.13
04-MAR-05,731.81,.13
05-MAR-05,731.68,.12
06-MAR-05,731.68,.12
07-MAR-05,731.68,.12
08-MAR-05,731.68,.12
09-MAR-05,731.67,.12
10-MAR-05,731.67,.12
11-MAR-05,731.67,.12
12-MAR-05,731.67,.12
13-MAR-05,731.67,.12
14-MAR-05,731.67,.12
15-MAR-05,731.65,.12
16-MAR-05,731.65,.12
17-MAR-05,731.65,.12
18-MAR-05,731.64,.12
19-MAR-05,731.64,.12
20-MAR-05,731.64,.12
21-MAR-05,731.64,.12
22-MAR-05,731.62,.12
23-MAR-05,731.62,.12
24-MAR-05,731.62,.12
25-MAR-05,731.62,.12
26-MAR-05,731.6,.12
27-MAR-05,731.6,.12
28-MAR-05,731.6,.12
29-MAR-05,731.6,.12
30-MAR-05,730.83,.12
31-MAR-05,730.46,.11
01-APR-05,730.03,.11
02-APR-05,729.59,.11
03-APR-05,729.14,.1
04-APR-05,728.65,.1
05-APR-05,728.13,.1
06-APR-05,727.61,.09
07-APR-05,727.09,.09
08-APR-05,726.65,.09
09-APR-05,726.21,.08
10-APR-05,725.77,.08
11-APR-05,725.37,.08
12-APR-05,725.22,.08
13-APR-05,725.22,.08
14-APR-05,725.22,.08
15-APR-05,725.2,.08
16-APR-05,725.2,.08
17-APR-05,725.2,.08
18-APR-05,725.2,.08
19-APR-05,725.19,.08
20-APR-05,725.19,.08
21-APR-05,725.19,.08
